software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-01 20:50:10.412 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764618612319,871,146,1
1764618612363,870,147,1
1764618612489,869,146,1
1764618612502,869,145,1
1764618612547,868,145,1
1764618612554,867,145,1
1764618612559,865,145,1
1764618612568,862,145,1
1764618612579,860,145,1
1764618612584,855,145,1
1764618612592,851,145,1
1764618612600,848,145,1
1764618612611,844,145,1
1764618612614,839,145,1
1764618612624,834,145,1
1764618612632,829,145,1
1764618612640,820,148,1
1764618612648,813,149,1
1764618612657,808,150,1
1764618612666,801,151,1
1764618612672,793,155,1
1764618612683,786,159,1
1764618612688,779,162,1
1764618612699,773,166,1
1764618612703,766,168,1
1764618612714,758,171,1
1764618612719,751,176,1
1764618612729,748,179,1
1764618612736,739,182,1
1764618612744,733,187,1
1764618612751,724,194,1
1764618612760,718,200,1
1764618612766,708,206,1
1764618612775,699,216,1
1764618612784,688,227,1
1764618612794,680,238,1
1764618612800,674,244,1
1764618612807,666,252,1
1764618612816,660,259,1
1764618612826,655,265,1
1764618612833,649,271,1
1764618612841,648,274,1
1764618612848,644,278,1
1764618612858,643,279,1
1764618612863,640,282,1
1764618612872,638,283,1
1764618612883,635,287,1
1764618612887,634,290,1
1764618612898,632,293,1
1764618612902,630,295,1
1764618612913,627,299,1
1764618612921,625,301,1
1764618612930,622,305,1
1764618612934,620,308,1
1764618612944,619,310,1
1764618612952,616,315,1
1764618612960,615,317,1
1764618612968,612,323,1
1764618612975,611,325,1
1764618612984,611,327,1
1764618612992,610,331,1
1764618613000,610,335,1
1764618613008,610,337,1
1764618613015,609,341,1
1764618613023,609,345,1
1764618613032,609,349,1
1764618613039,607,351,1
1764618613048,606,357,1
1764618613056,606,360,1
1764618613064,606,365,1
1764618613074,605,369,1
1764618613080,605,376,1
1764618613089,605,386,1
1764618613099,605,394,1
1764618613103,605,404,1
1764618613115,604,415,1
1764618613119,600,427,1
1764618613128,599,438,1
1764618613136,597,452,1
1764618613143,597,465,1
1764618613151,595,472,1
1764618613160,593,487,1
1764618613167,593,499,1
1764618613176,592,512,1
1764618613184,589,526,1
1764618613192,588,538,1
1764618613200,587,554,1
1764618613208,587,568,1
1764618613216,584,583,1
1764618613224,584,598,1
1764618613230,581,611,0
1764618613239,581,621,0
1764618613247,581,635,0
1764618613257,581,648,0
1764618613262,581,660,0
1764618613271,581,671,0
1764618613279,581,683,0
1764618613289,581,693,0
1764618613296,581,703,0
1764618613305,581,711,0
1764618613312,581,721,0
1764618613321,581,730,0
1764618613327,585,742,0
1764618613336,591,751,0
1764618613344,595,762,0
1764618613351,600,774,0
1764618613360,608,786,0
1764618613367,613,795,0
1764618613376,620,803,0
1764618613384,626,809,0
1764618613391,634,817,0
1764618613400,640,823,0
1764618613408,647,828,0
1764618613415,653,833,0
1764618613424,666,840,0
1764618613432,673,842,0
1764618613439,684,852,0
1764618613446,693,858,0
1764618613454,711,866,0
1764618613464,728,870,0
1764618613475,741,874,0
1764618613480,759,880,0
1764618613488,774,884,0
1764618613497,789,889,0
1764618613507,800,891,0
1764618613512,813,895,0
1764618613522,825,896,0
1764618613527,842,902,0
1764618613539,853,903,0
1764618613542,871,905,0
1764618613552,884,907,0
1764618613560,898,909,0
1764618613568,914,910,0
1764618613576,928,910,0
1764618613584,943,910,0
1764618613593,957,910,0
1764618613600,974,910,0
1764618613608,989,910,0
1764618613616,1005,910,0
1764618613624,1022,910,0
1764618613632,1037,908,0
1764618613640,1051,906,0
1764618613650,1063,902,0
1764618613655,1073,898,0
1764618613664,1082,894,0
1764618613671,1091,890,0
1764618613679,1100,883,0
1764618613687,1106,879,0
1764618613700,1109,876,0
1764618613703,1114,871,0
1764618613714,1118,868,0
1764618613722,1120,866,0
1764618613729,1124,859,0
1764618613735,1126,858,0
1764618613746,1129,855,0
1764618613750,1134,850,0
1764618613760,1136,848,0
1764618613766,1139,847,0
1764618613776,1142,845,0
1764618613784,1146,842,0
1764618613792,1150,839,0
1764618613801,1156,834,0
1764618613808,1159,832,0
1764618613816,1165,825,0
1764618613824,1170,821,0
1764618613832,1173,817,0
1764618613840,1178,809,0
1764618613850,1183,804,0
1764618613856,1188,798,0
1764618613864,1194,792,0
1764618613872,1200,785,0
1764618613884,1207,777,1
1764618613888,1213,769,1
1764618613896,1218,760,1
1764618613903,1222,753,1
1764618613913,1227,742,1
1764618613919,1230,734,1
1764618613930,1235,721,1
1764618613934,1242,709,1
1764618613946,1246,700,1
1764618613951,1251,688,1
1764618613960,1259,677,1
1764618613967,1267,665,1
1764618613976,1273,654,1
1764618613983,1280,640,1
1764618613992,1287,626,1
1764618613999,1289,613,1
1764618614008,1293,601,1
1764618614017,1297,587,1
1764618614024,1300,575,1
1764618614033,1304,560,1
1764618614039,1311,547,1
1764618614048,1317,534,1
1764618614056,1324,518,1
1764618614066,1329,504,1
1764618614071,1335,491,1
1764618614080,1342,475,0
1764618614088,1346,463,0
1764618614099,1348,454,0
1764618614103,1351,442,0
1764618614113,1352,427,0
1764618614119,1352,416,0
1764618614129,1355,402,0
1764618614135,1355,391,0
1764618614144,1355,379,0
1764618614150,1356,369,0
1764618614160,1356,360,0
1764618614166,1356,352,0
1764618614176,1356,345,0
1764618614182,1356,333,0
